address,pubkey,value
12LdEQHzw7WNY3Eidr58U9kbAfF6tbhkdc,,6125000000
12Lr3cVTJPH6ovtd7cx6xJ9PgzL8Ypn8dS,,2800000
12LrSLft4pwnFZvxyaCUKVjb7Z9L6V8r3b,,2000000000
12LzU1YrgDCL92fUkZrrQiVngic2zvHJuV,,3236250000
12M2NCFj1uqfF1ehqWnJRXmQx8i1rn6s1v,,2800000
12M32FJq1wEjKc4WDX54zVk381XA5p1sdR,,1006600000
12M3U8QGS3cemNnxbUN7UffpHpwgExNu1n,,1004500000
12M7NYA3Kq9gUYsoYi8fEuMMLDNUbtDiCj,,149000000
12M8PkiMGcCGk5SK2Rxs3NnSmCWcJKqG83,,3000000000
12MCM2RzkCY2GaMn5JJnkExjVrgHGt2pAb,,700000
12MCrsG96SRwpGuGKrWuZYitowAsq52JFa,,50090000
12MFRi7mgQs937z8U3GJeAD34w31CZ1MtF,,112458600000
12MGfyXCYiBFdMHdQgggsv6uWaiVm7N7Y2,,82570000
12ML7uHUhs2V84oUWYr9YxpUs1KFTTRrsD,,151971600000
12MPEkc1iMx4fCL113PvKzA2f1fbLCqmzH,,532451910000
12MRvaMghb5zixLG4hgUSLk2NZC1MyzrSu,,360000000
12MVrbwquPviiU8mNUFkvxcy9fcoV1cAQE,,1004500000
12MYAvGj8ryhLgHXdKqSUgqmcYeZEq9wDS,,1004500000
12MZGeKKwrSXnqEK2nCVECyt577Fr3bv5i,,1004500000
12MrfAp6jrguGhAfS6j7ffYUvrCHPuYCaV,,4858846188623900
12Ms1FVXKPN5qxAFShZ7GehKfRjuL5XNhh,,1020680000
12MuS86kJAxmd8TmAKDuw9sr3uVWGFqkuE,,1006600000
12N4ZGhnKySJHhJKKZw9CwsCjEL97DZNpZ,,1008700000
12N9UXtmkSNR49jRDnNp2QJLmQSdi5iXY1,,1006600000
12NBsS5fqppffjLJ8Bn2NmywQMraGs8mkM,,2800000
